Year,Year ending,Local Government Area,Charge Status,Incidents Recorded
2019,September,Queenscliffe,No charges laid,12
2019,September,Queenscliffe,Unsolved,74
2019,September,South Gippsland,Charges laid,622
2019,September,South Gippsland,No charges laid,169
2019,September,South Gippsland,Unsolved,420
2019,September,Southern Grampians,Charges laid,536
2019,September,Southern Grampians,No charges laid,194
2019,September,Southern Grampians,Unsolved,227
2019,September,Stonnington,Charges laid,"2,691"
2019,September,Stonnington,No charges laid,"1,157"
2019,September,Stonnington,Unsolved,"4,912"
2019,September,Strathbogie,Charges laid,163
2019,September,Strathbogie,No charges laid,87
2019,September,Strathbogie,Unsolved,198
2019,September,Surf Coast,Charges laid,334
2019,September,Surf Coast,No charges laid,162
2019,September,Surf Coast,Unsolved,471
2019,September,Swan Hill,Charges laid,997
2019,September,Swan Hill,No charges laid,345
2019,September,Swan Hill,Unsolved,484
2019,September,Towong,Charges laid,61
2019,September,Towong,No charges laid,23
2019,September,Towong,Unsolved,63
2019,September,Wangaratta,Charges laid,869
2019,September,Wangaratta,No charges laid,355
2019,September,Wangaratta,Unsolved,481
2019,September,Warrnambool,Charges laid,"1,563"
2019,September,Warrnambool,No charges laid,483
2019,September,Warrnambool,Unsolved,755
2019,September,Wellington,Charges laid,"1,549"
2019,September,Wellington,No charges laid,687
2019,September,Wellington,Unsolved,906
2019,September,West Wimmera,Charges laid,72
2019,September,West Wimmera,No charges laid,21
2019,September,West Wimmera,Unsolved,49
2019,September,Whitehorse,Charges laid,"2,305"
2019,September,Whitehorse,No charges laid,707
2019,September,Whitehorse,Unsolved,"4,038"
2019,September,Whittlesea,Charges laid,"4,530"
2019,September,Whittlesea,No charges laid,"1,816"
2019,September,Whittlesea,Unsolved,"5,664"
2019,September,Wodonga,Charges laid,"1,300"
2019,September,Wodonga,No charges laid,279
2019,September,Wodonga,Unsolved,"1,106"
2019,September,Wyndham,Charges laid,"5,184"
2019,September,Wyndham,No charges laid,"1,688"
2019,September,Wyndham,Unsolved,"5,665"
2019,September,Yarra,Charges laid,"3,235"
2019,September,Yarra,No charges laid,"1,228"
2019,September,Yarra,Unsolved,"6,487"
2019,September,Yarra Ranges,Charges laid,"2,475"
2019,September,Yarra Ranges,No charges laid,937
2019,September,Yarra Ranges,Unsolved,"2,703"
2019,September,Yarriambiack,Charges laid,162
2019,September,Yarriambiack,No charges laid,46
2019,September,Yarriambiack,Unsolved,95
2018,September,Alpine,Charges laid,211
2018,September,Alpine,No charges laid,60
2018,September,Alpine,Unsolved,103
2018,September,Ararat,Charges laid,544
2018,September,Ararat,No charges laid,175
2018,September,Ararat,Unsolved,212
2018,September,Ballarat,Charges laid,"3,530"
2018,September,Ballarat,No charges laid,859
2018,September,Ballarat,Unsolved,"3,723"
2018,September,Banyule,Charges laid,"3,234"
2018,September,Banyule,No charges laid,657
2018,September,Banyule,Unsolved,"3,312"
2018,September,Bass Coast,Charges laid,703
2018,September,Bass Coast,No charges laid,321
2018,September,Bass Coast,Unsolved,587
2018,September,Baw Baw,Charges laid,"1,489"
2018,September,Baw Baw,No charges laid,448
2018,September,Baw Baw,Unsolved,"1,130"
2018,September,Bayside,Charges laid,"1,007"
2018,September,Bayside,No charges laid,577
2018,September,Bayside,Unsolved,"2,230"
2018,September,Benalla,Charges laid,441
2018,September,Benalla,No charges laid,173
2018,September,Benalla,Unsolved,287
2018,September,Boroondara,Charges laid,"1,423"
2018,September,Boroondara,No charges laid,535
2018,September,Boroondara,Unsolved,"3,591"
2018,September,Brimbank,Charges laid,"6,329"
2018,September,Brimbank,No charges laid,"1,341"
2018,September,Brimbank,Unsolved,"6,827"
2018,September,Buloke,Charges laid,62
2018,September,Buloke,No charges laid,32
2018,September,Buloke,Unsolved,80
2018,September,Campaspe,Charges laid,"1,227"
2018,September,Campaspe,No charges laid,317
2018,September,Campaspe,Unsolved,"1,101"
2018,September,Cardinia,Charges laid,"1,663"
2018,September,Cardinia,No charges laid,718
2018,September,Cardinia,Unsolved,"2,094"
2018,September,Casey,Charges laid,"5,601"
2018,September,Casey,No charges laid,"2,525"
2018,September,Casey,Unsolved,"6,951"
2018,September,Central Goldfields,Charges laid,547
2018,September,Central Goldfields,No charges laid,208
2018,September,Central Goldfields,Unsolved,246
2018,September,Colac-Otway,Charges laid,529
2018,September,Colac-Otway,No charges laid,210
2018,September,Colac-Otway,Unsolved,497
2018,September,Corangamite,Charges laid,277
2018,September,Corangamite,No charges laid,94
2018,September,Corangamite,Unsolved,192
2018,September,Darebin,Charges laid,"3,894"
2018,September,Darebin,No charges laid,958
2018,September,Darebin,Unsolved,"6,655"
2018,September,East Gippsland,Charges laid,"1,651"
2018,September,East Gippsland,No charges laid,751
2018,September,East Gippsland,Unsolved,775
2018,September,Frankston,Charges laid,"5,469"
2018,September,Frankston,No charges laid,"1,537"
2018,September,Frankston,Unsolved,"4,088"
2018,September,Gannawarra,Charges laid,246
2018,September,Gannawarra,No charges laid,71
2018,September,Gannawarra,Unsolved,146
2018,September,Glen Eira,Charges laid,"1,379"
2018,September,Glen Eira,No charges laid,721
2018,September,Glen Eira,Unsolved,"2,871"
2018,September,Glenelg,Charges laid,520
2018,September,Glenelg,No charges laid,200
2018,September,Glenelg,Unsolved,354
2018,September,Golden Plains,Charges laid,167
2018,September,Golden Plains,No charges laid,59
2018,September,Golden Plains,Unsolved,279
2018,September,Greater Bendigo,Charges laid,"3,849"
2018,September,Greater Bendigo,No charges laid,"1,106"
2018,September,Greater Bendigo,Unsolved,"2,386"
2018,September,Greater Dandenong,Charges laid,"5,673"
2018,September,Greater Dandenong,No charges laid,"2,186"
2018,September,Greater Dandenong,Unsolved,"6,074"
2018,September,Greater Geelong,Charges laid,"6,567"
2018,September,Greater Geelong,No charges laid,"1,829"
2018,September,Greater Geelong,Unsolved,"7,571"
2018,September,Greater Shepparton,Charges laid,"2,976"
2018,September,Greater Shepparton,No charges laid,958
2018,September,Greater Shepparton,Unsolved,"2,236"
2018,September,Hepburn,Charges laid,252
2018,September,Hepburn,No charges laid,73
2018,September,Hepburn,Unsolved,320
2018,September,Hindmarsh,Charges laid,124
2018,September,Hindmarsh,No charges laid,59
2018,September,Hindmarsh,Unsolved,65
2018,September,Hobsons Bay,Charges laid,"2,035"
2018,September,Hobsons Bay,No charges laid,558
2018,September,Hobsons Bay,Unsolved,"2,145"
2018,September,Horsham,Charges laid,932
2018,September,Horsham,No charges laid,309
2018,September,Horsham,Unsolved,376
2018,September,Hume,Charges laid,"6,023"
2018,September,Hume,No charges laid,"2,042"
2018,September,Hume,Unsolved,"7,545"
2018,September,Indigo,Charges laid,129
2018,September,Indigo,No charges laid,61
2018,September,Indigo,Unsolved,145
2018,September,Kingston,Charges laid,"3,128"
2018,September,Kingston,No charges laid,"1,247"
2018,September,Kingston,Unsolved,"3,845"
2018,September,Knox,Charges laid,"3,318"
2018,September,Knox,No charges laid,"1,158"
2018,September,Knox,Unsolved,"3,606"
2018,September,Latrobe,Charges laid,"5,472"
2018,September,Latrobe,No charges laid,"1,505"
2018,September,Latrobe,Unsolved,"2,902"
2018,September,Loddon,Charges laid,151
2018,September,Loddon,No charges laid,53
2018,September,Loddon,Unsolved,163
2018,September,Macedon Ranges,Charges laid,691
2018,September,Macedon Ranges,No charges laid,225
2018,September,Macedon Ranges,Unsolved,692
2018,September,Manningham,Charges laid,"1,145"
2018,September,Manningham,No charges laid,388
2018,September,Manningham,Unsolved,"1,941"
2018,September,Mansfield,Charges laid,135
2018,September,Mansfield,No charges laid,55
2018,September,Mansfield,Unsolved,134
2018,September,Maribyrnong,Charges laid,"2,312"
2018,September,Maribyrnong,No charges laid,695
2018,September,Maribyrnong,Unsolved,"3,967"
2018,September,Maroondah,Charges laid,"2,723"
2018,September,Maroondah,No charges laid,890
2018,September,Maroondah,Unsolved,"2,089"
2018,September,Melbourne,Charges laid,"10,682"
2018,September,Melbourne,No charges laid,"5,169"
2018,September,Melbourne,Unsolved,"11,552"
2018,September,Melton,Charges laid,"3,066"
2018,September,Melton,No charges laid,914
2018,September,Melton,Unsolved,"4,037"
2018,September,Mildura,Charges laid,"2,721"
2018,September,Mildura,No charges laid,887
2018,September,Mildura,Unsolved,"1,697"
2018,September,Mitchell,Charges laid,"1,426"
2018,September,Mitchell,No charges laid,573
2018,September,Mitchell,Unsolved,995
2018,September,Moira,Charges laid,792
2018,September,Moira,No charges laid,214
2018,September,Moira,Unsolved,493
2018,September,Monash,Charges laid,"2,495"
2018,September,Monash,No charges laid,906
2018,September,Monash,Unsolved,"4,874"
2018,September,Moonee Valley,Charges laid,"2,219"
2018,September,Moonee Valley,No charges laid,908
2018,September,Moonee Valley,Unsolved,"3,718"
2018,September,Moorabool,Charges laid,733
2018,September,Moorabool,No charges laid,205
2018,September,Moorabool,Unsolved,807
2018,September,Moreland,Charges laid,"3,300"
2018,September,Moreland,No charges laid,"1,418"
2018,September,Moreland,Unsolved,"6,819"
2018,September,Mornington Peninsula,Charges laid,"3,374"
2018,September,Mornington Peninsula,No charges laid,"1,422"
2018,September,Mornington Peninsula,Unsolved,"3,300"
2018,September,Mount Alexander,Charges laid,344
2018,September,Mount Alexander,No charges laid,90
2018,September,Mount Alexander,Unsolved,233
2018,September,Moyne,Charges laid,167
2018,September,Moyne,No charges laid,90
2018,September,Moyne,Unsolved,135
2018,September,Murrindindi,Charges laid,209
2018,September,Murrindindi,No charges laid,128
2018,September,Murrindindi,Unsolved,212
2018,September,Nillumbik,Charges laid,532
2018,September,Nillumbik,No charges laid,243
2018,September,Nillumbik,Unsolved,859
2018,September,Northern Grampians,Charges laid,378
2018,September,Northern Grampians,No charges laid,170
2018,September,Northern Grampians,Unsolved,201
2018,September,Port Phillip,Charges laid,"3,149"
2018,September,Port Phillip,No charges laid,"1,312"
2018,September,Port Phillip,Unsolved,"5,476"
2018,September,Pyrenees,Charges laid,132
2018,September,Pyrenees,No charges laid,55
